year,gear,ocean,species,product,property,value
2012,GN,EIO,BET,dom,catch_value,3110068.913
2012,GN,EIO,BET,dom,sales_value,6205400
2012,GN,EIO,SKJ,lc,volume,3120.4
2012,GN,EIO,SKJ,lc,catch_value,4881819.06
2012,GN,EIO,SKJ,lc,sales_value,19409109.84
2012,GN,EIO,SKJ,dom,volume,59287.6
2012,GN,EIO,SKJ,dom,catch_value,92754562.15
2012,GN,EIO,SKJ,dom,sales_value,207506600
2012,GN,EIO,YFT,lc,volume,704.65
2012,GN,EIO,YFT,lc,catch_value,1305075.025
2012,GN,EIO,YFT,lc,sales_value,6872400.335
2012,GN,EIO,YFT,dom,volume,13388.35
2012,GN,EIO,YFT,dom,catch_value,24796425.47
2012,GN,EIO,YFT,dom,sales_value,73635925
2012,HL,EIO,ALB,dom,volume,340
2012,HL,EIO,ALB,dom,catch_value,1173680
2012,HL,EIO,ALB,dom,sales_value,1020000
2012,HL,EIO,SKJ,dom,volume,4863
2012,HL,EIO,SKJ,dom,catch_value,7608090.659
2012,HL,EIO,SKJ,dom,sales_value,17020500
2012,HL,EIO,YFT,fsh_sash,volume,2415.6
2012,HL,EIO,YFT,fsh_sash,catch_value,11885660.69
2012,HL,EIO,YFT,fsh_sash,sales_value,45426565.8
2012,HL,EIO,YFT,fzn_sash,volume,5636.4
2012,HL,EIO,YFT,fzn_sash,catch_value,33082016.41
2012,HL,EIO,YFT,fzn_sash,sales_value,103262646.4
2012,LL,EIO,ALB,lc,volume,21459
2012,LL,EIO,ALB,lc,catch_value,74076468
2012,LL,EIO,ALB,lc,sales_value,193063594.7
2012,LL,EIO,BET,fsh_sash,volume,16756
2012,LL,EIO,BET,fsh_sash,catch_value,104979754.2
2012,LL,EIO,BET,fsh_sash,sales_value,370129567.5
2012,LL,EIO,BET,fzn_sash,volume,16756
2012,LL,EIO,BET,fzn_sash,catch_value,181856527.4
2012,LL,EIO,BET,fzn_sash,sales_value,289712514.9
2012,LL,EIO,SKJ,dom,volume,6687
2012,LL,EIO,SKJ,dom,catch_value,10461711.34
2012,LL,EIO,SKJ,dom,sales_value,23404500
2012,LL,EIO,YFT,dom,volume,29730
2012,LL,EIO,YFT,dom,catch_value,55062627.52
2012,LL,EIO,YFT,dom,sales_value,163515000
2012,LL,EIO,YFT,fsh_sash,volume,17342.5
2012,LL,EIO,YFT,fsh_sash,catch_value,85331623.82
2012,LL,EIO,YFT,fsh_sash,sales_value,326134383.8
2012,LL,EIO,YFT,fzn_sash,volume,2477.5
2012,LL,EIO,YFT,fzn_sash,catch_value,14541319.93
2012,LL,EIO,YFT,fzn_sash,sales_value,45389469.62
2012,Other,EIO,ALB,lc,volume,104
2012,Other,EIO,ALB,lc,catch_value,367224
2012,Other,EIO,ALB,lc,sales_value,935673.3235
2012,Other,EIO,ALB,dom,volume,104
2012,Other,EIO,ALB,dom,catch_value,367224
2012,Other,EIO,ALB,dom,sales_value,312000
2012,Other,EIO,BET,fsh_sash,volume,766
2012,Other,EIO,BET,fsh_sash,catch_value,4799146.082
2012,Other,EIO,BET,fsh_sash,sales_value,16920461.25
2012,Other,EIO,BET,fzn_sash,volume,766
2012,Other,EIO,BET,fzn_sash,catch_value,8313565.287
2012,Other,EIO,BET,fzn_sash,sales_value,13244198.28
2012,Other,EIO,SKJ,lc,volume,2507
2012,Other,EIO,SKJ,lc,catch_value,4596584.5
2012,Other,EIO,SKJ,lc,sales_value,15593718.23
2012,Other,EIO,SKJ,dom,volume,2507
2012,Other,EIO,SKJ,dom,catch_value,4596584.5
2012,Other,EIO,SKJ,dom,sales_value,8774500
2012,Other,EIO,YFT,fsh_sash,volume,490.5
2012,Other,EIO,YFT,fsh_sash,catch_value,2413444.514
2012,Other,EIO,YFT,fsh_sash,sales_value,9224097.75
2012,Other,EIO,YFT,fzn_sash,volume,490.5
2012,Other,EIO,YFT,fzn_sash,catch_value,2878917.226
2012,Other,EIO,YFT,fzn_sash,sales_value,8986290.554
2012,PS,EIO,BET,lc,volume,4978
2012,PS,EIO,BET,lc,catch_value,9590117
2012,PS,EIO,BET,lc,sales_value,39573640.73
2012,PS,EIO,SKJ,lc,volume,28877
2012,PS,EIO,SKJ,lc,catch_value,52945979.5
