year,gear,ocean,species,product,volume,catch_value,sales_value
2014,TR,WAO,ALB,dom,0.5,0,0
2014,TR,WAO,SKJ,dom,180,211248.1032,630000
2014,TR,WAO,YFT,fsh_sash,146,810884,2149671.15
2014,BBPL,Antarctic,SBF,fzn_sash,10,0,0
2014,LL,Antarctic,SBF,fzn_sash,7730,97450052.58,248608395
2014,PS,Antarctic,SBF,For ranching,4168,41793369.6,204406706.4
2016,BBPL,WCPO,ALB,lc,10127.6,25331136.46,86233286.43
2016,BBPL,WCPO,ALB,dom,4340.4,10856201.34,26279984.82
2016,BBPL,WCPO,BET,lc,2752.4,7004858,14504783.78
2016,BBPL,WCPO,BET,dom,1179.6,3002082,6240084
